Release Clause Score,35,,,,,,,,,,
Another Club Accepted,-175,,,,,,,,,,
Another Club Pending,-100,,,,,,,,,,
Free Agent Points,95,,,,,,,,,,
Is Transfer Listed,125,,,,,,,,,,
Is Loan Listed,165,,,,,,,,,,
Stay In Country Points,25,,,,,,,,,,
minLOBscore for Transfer,175,,,,,,,,,,
minLOBscore for Loan,165,,,,,,,,,,
User Buyer Preferred Position Score,0,,,,,,,,,,
,,,,,,,,,,,
Team Level Star Rank(0 based index),,,,,,,,,,,
0,-50,,,,,,,,,,
1,-50,,,,,,,,,,
2,-50,,,,,,,,,,
3,-50,,,,,,,,,,
4,-25,,,,,,,,,,
5,-20,,,,,,,,,,
6,0,,,,,,,,,,
7,10,,,,,,,,,,
8,20,,,,,,,,,,
9,25,,,,,,,,,,
10,30,,,,,,,,,,
11,50,,,,,,,,,,
12,60,,,,,,,,,,
,,,,,,,,,,,
Group Name(same order as in the table above),"//Comments(non empty content !! & do not use ',' !)",Nation Ids,,,,,,,,,
British Isles,//England;Scotland;Ireland;Northern;Ireland;Wales,14,42,25,35,50,,,,,
Latin Europe,//Italy;France;Spain;Portugal,45,38,18,27,,,,,,
Western Europe,//Austria;Belgium;Germany;Netherlands;Switzerland,4,7,34,47,21,,,,,
Nothern Europe,//Denmark;Finland;Iceland;Norway;Sweden,13,17,24,36,46,,,,,
Southern Europe,//Greece;Turkey;Croatia;Serbia;Slovenia,22,48,10,51,44,,,,,
Eastern Europe,//Russia;Ukraine;Poland;Romania;Bulgaria;Czech,40,49,37,39,9,12,,,,
North America,//Canada;Mexico;USA,70,83,95,,,,,,,
South America,//Argentina;Bolivia;Brazil;Chile;Colombia;Ecuador;Paraguay;Peru;Uruguay;Venezuela,52,53,54,55,56,57,58,59,60,61
Asia,//China;Japan;Korea;Saudi,155,163,167,183,,,,,,
Africa,//Cameroon;Ivory;Coast;Egypt,103,108,111,,,,,,,
Oceania,//Australia;New;Zealand,195,198,,,,,,,,
,,,,,,,,,,,
Nationality FromGroup\ToGroup,British Isles,Latin Europe,Western Europe,Nothern Europe,Southern Europe,Eastern Europe,North America,South America,Asia,Africa,Oceania
British Isles,51,-205,-210,-210,-210,-210,-210,-210,-210,-210,-210
Latin Europe,-10,47,-95,-400,-95,-95,-185,-185,-185,-185,-185
Western Europe,-50,-100,45,-95,-95,-95,-185,-185,-185,-185,-185
Nothern Europe,-50,-125,-95,45,-95,-95,-185,-185,-185,-185,-185
Southern Europe,-60,-125,-95,-95,45,45,-185,-185,-185,-185,-185
Eastern Europe,-55,-125,-95,-95,45,45,-185,-185,-185,-185,-185
North America,-50,-125,-95,-95,-95,-95,45,60,-250,-500,60
South America,-10,0,-95,-95,-50,-10,45,60,-50,-500,-250
Asia,-50,-125,-95,-95,-95,-95,-185,-185,-185,-185,-185
Africa,-35,-125,-95,-95,-95,-95,-185,-185,-185,-185,-185
Oceania,-45,-125,-95,-95,-95,-95,-185,-185,45,-185,70
,,,,,,,,,,,
Team Overall >=,Score,,,,,,,,,,
85,108,,,,,,,,,,
84,103,,,,,,,,,,
82,92,,,,,,,,,,
79,61,,,,,,,,,,
74,59,,,,,,,,,,
1,57,,,,,,,,,,
,,,,,,,,,,,
League Rank,Score,,,,,,,,,,
0,8,,,,,,,,,,
1,5,,,,,,,,,,
2,5,,,,,,,,,,
3,0,,,,,,,,,,
4,0,,,,,,,,,,
,,,,,,,,,,,
Current Contract Years,Score,,,,,,,,,,
0,100,,,,,,,,,,
1,75,,,,,,,,,,
2,50,,,,,,,,,,
3,0,,,,,,,,,,
4,0,,,,,,,,,,
5,0,,,,,,,,,,
,,,,,,,,,,,
Offered Contract Years,Score,,,,,,,,,,
0,0,,,,,,,,,,
1,0,,,,,,,,,,
2,0,,,,,,,,,,
3,0,,,,,,,,,,
4,0,,,,,,,,,,
5,0,,,,,,,,,,
,,,,,,,,,,,
Offered Loan Length,Score,Comment,,,,,,,,,
6,20,Short-Term,,,,,,,,,
12,30,1-Year,,,,,,,,,
24,40,2-Years,,,,,,,,,
,,,,,,,,,,,
Time At Club,Score,,,,,,,,,,
6,-100,,,,,,,,,,
9,-100,,,,,,,,,,
24,0,,,,,,,,,,
36,0,,,,,,,,,,
48,0,,,,,,,,,,
60,0,,,,,,,,,,
,,,,,,,,,,,
Role Difference(Buyer-Seller),Score,"Do not leave gaps, i.e. you can not enter only ""+2"" and ""0"" diff(s), you must add for the ""+1"" diff a value too",,,,,,,,,
2,150,"The leftoutside diff(s) will use the edge values, i.e. a +3 or +4 will use the same value as for the +2 diff",,,,,,,,,
1,75,,,,,,,,,,
0,0,,,,,,,,,,
-1,0,,,,,,,,,,
-2,0,,,,,,,,,,
,,,,,,,,,,,
Player Overall >=, League Overall >=,,,,,,,,,,
86,76,,,,,,,,,,
68,67,,,,,,,,,,
65,62,,,,,,,,,,
60,57,,,,,,,,,,
50,0,,,,,,,,,,
1,0,,,,,,,,,,
,,,,,,,,,,,
Preferred Position Available,Score,Comment,,,,,,,,,
0,-1000,Fallback Case,,,,,,,,,
1,45,Player first preferred position found,,,,,,,,,
2,20,,,,,,,,,,
3,0,,,,,,,,,,
4,0,,,,,,,,,,
,,,,,,,,,,,
Play As Player Score Listed,Unlisted,,,,,,,,,,
275,225,,,,,,,,,,
