0,1.5,1.5,1.4,1.4,1.2,1.2,1.1,1.1,1,1
13,1.6,1.6,1.5,1.5,1.3,1.3,1,1,1,1
53,1.5,1.5,1.5,1.4,1.4,1.2,1.2,1,0.8,0.8
31,2,1.8,1.4,1.4,1.2,1,0.9,0.8,0.8,0.7
19,1.5,1.5,1.5,1.2,1.2,1,1,1,1,1
16,2,1.8,1.8,1.5,1.2,1,1,1,0.8,0.8
10,1.5,1.5,1.3,1.2,1.1,1,1,0.9,0.8,0.8
14,1.8,1.8,1.6,1.6,1.3,1.3,1.1,1.1,0.8,0.8
20,1.6,1.6,1.5,1.5,1.4,1.2,1.1,0.8,0.7,0.7
32,1.1,1.1,1,1,1,0.9,0.9,0.8,0.8,0.8
83,1.6,1.6,1.5,1.5,1.4,1.4,1.2,1.2,1,1
308,1.5,1.5,1.3,1.3,1.1,1.1,1,1,0.8,0.8
54,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2
56,1.5,1.5,1.4,1.4,1.2,1.2,1.1,1.1,1,1
189,2,2,1.5,1.5,1.3,1.3,1,1,1,1
39,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2
341,2,1.8,1.6,1.4,1.2,1.2,1,1,0.8,0.8
335,2,2,2,2,1.4,1.4,1.2,1.2,1,1
336,1.1,1.1,1.1,1.1,1,1,1,0.8,0.8,0.8
67,2,2,1.8,1.8,1.7,1.7,1.7,1.4,1.4,1.4
80,1.8,1.8,1.6,1.4,1.2,1,1,1,0.8,0.8
4,1.4,1.4,1.2,1.1,1.1,1.1,1.1,1.1,1,1
1,1.4,1.4,1.2,1.1,1.1,1.1,1.1,1.1,1,1
41,1.2,1.2,1.2,1.1,1.1,1.1,1,1,1,1
68,1.8,1.8,1.6,1.4,1.2,1,1,1,1,1
60,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1,1
66,1.2,1.2,1,1,1,1,0.9,0.9,0.8,0.8
350,1.5,1.5,1.5,1.5,1.5,1.5,1.3,1.2,1,1
351,2.5,2.5,2,2,1.5,1.5,1,1,1,1
353,1.2,1.2,1.1,1.1,1,1,0.9,0.9,0.8,0.8
61,1.8,1.8,1.8,1.8,1.8,1.5,1.5,1.5,1.5,1.5
50,2,2,2,2,2,1.8,1.8,1.8,1.8,1.8
65,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.3
7,1.5,1.5,1.5,1.2,1.2,1.2,1.2,1,1,1
349,1,1,1,1,0.8,0.8,0.7,0.7,0.7,0.7
2076,1.6,1.6,1.5,1.5,1.4,1.2,1.1,0.8,0.7,0.7
