ClubWorth\Profitability,500000,5000000,5000001,15000000,15000001,30000000,30000001,60000000,60000001,100000000,100000001,150000000,150000001,250000000,250000001,500000000,500000001,1000000000,1000000001,2000000000,2000000001,5000000000,5000000001
1,1,1,1,1,4500,4000,4000,2800,2800,2400,2400,2100,2100,1800,1800,1400,1400,1000,1000,750,750,500,500
2,1,1,1,1,4000,3100,3100,2300,2300,1900,1900,1675,1675,1500,1500,1150,1150,850,850,650,650,430,430
3,1,1,1,1,3600,2775,2775,1950,1950,1650,1650,1500,1500,1300,1300,1000,1000,725,725,550,550,360,360
4,1,1,1,1,3200,2300,2300,1650,1650,1400,1400,1200,1200,1120,1120,900,900,600,600,475,475,300,300
5,1,1,1,1,2900,2200,2200,1475,1475,1250,1250,1050,1050,950,950,825,825,550,550,400,400,250,250
6,1,1,1,1,2600,1800,1800,1300,1300,1100,1100,950,950,820,820,720,720,500,500,350,350,220,220
7,1,1,1,1,2250,1600,1600,1200,1200,1020,1020,900,900,740,740,660,660,450,450,300,300,190,190
8,1,1,1,1,2000,1350,1350,1000,1000,950,950,850,850,670,670,560,560,400,400,275,275,170,170
9,1,1,1,1,1900,1300,1300,950,950,850,850,775,775,620,620,470,470,350,350,250,250,155,155
10,1,1,1,1,1850,1250,1250,850,850,750,750,650,650,540,540,370,370,300,300,225,225,145,145
